OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
0c1b092fb96a8ce114510fd9c0786cc7	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Lachnospira	g__Lachnospira; s__
85750c64db5820058bc943bfc4e92d43	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	f__Clostridiaceae; g__	f__Clostridiaceae; g__; s__
5220f6a1ae2a5cb38c11c361a38c9e11	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	o__Bacteroidales; f__	o__Bacteroidales; f__; g__	o__Bacteroidales; f__; g__; s__
cb74bc6efe7a7b5ea6e7218249964982	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	f__Lachnospiraceae; g__	f__Lachnospiraceae; g__; s__
20539e471f718abbabcc737097f1f5c7	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Mogibacteriaceae]	f__[Mogibacteriaceae]; g__	f__[Mogibacteriaceae]; g__; s__
203c71371027ccc9fdf57f8e464f3445	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Coprococcus	g__Coprococcus; s__
b47c69ebe10bfb8dec3b343d3b8e8049	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	f__Peptostreptococcaceae; g__	f__Peptostreptococcaceae; g__; s__
184045e75f4b776d1fa5edcc69fa8896	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	f__Lachnospiraceae; g__	f__Lachnospiraceae; g__; s__
f8279c02eee7bb02b2ce1071c2401efa	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	f__Erysipelotrichaceae; g__	f__Erysipelotrichaceae; g__; s__
917ffcc12a4ad64d38a1499f25186d69	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	o__Clostridiales; f__	o__Clostridiales; f__; g__	o__Clostridiales; f__; g__; s__
54829c9dcfa22b1e55801fdc18e4aab2	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	o__Bacteroidales; f__	o__Bacteroidales; f__; g__	o__Bacteroidales; f__; g__; s__
0e2e5f7d32fc4959f81e8e3a88545955	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__[Ruminococcus]	g__[Ruminococcus]; s__
5ac490ac80d88fba5441a6c3ed93b91e	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Blautia	g__Blautia; s__
1afc0760a62bab53956a5895a271d45d	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Coprococcus	g__Coprococcus; s__
fcefab3df95cbbab7e3eb68717b236a2	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__adolescentis
